"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Cantherhines macrocerus";0,503324758939347;0,240315062108519;0,120749523957097;0,712908235959495;0;0,78861288618627
"Cantherhines pardalis";0,584096589360527;0,215861659184109;0,394294960504182;0,684375530041451;0;0,434282839259237
"Cantherhines pullus";0,564152540566875;0,215861659184109;0,340695358761629;0,699065978020375;0;0,678120052531151
"Cantherhines sandwichiensis";0,464903832734332;0;0,232660160362464;0,548204105123361;0;0,137664402986521
"Cantheschenia grandisquamis";0,198622796142302;0,215861659184109;0,124395323386961;0,537634418112396;0;0,137664402986521
"Canthidermis maculata";0,763731064065897;0,363210164895204;0,379912941323649;0,739246636842085;0;0,34742627140739
"Canthidermis sufflamen";0,543367968880658;0,308828215581532;0,219330485373805;0,647119820181035;0;0,438138760099518
"Canthigaster amboinensis";0,532408994604213;0,147348505711095;0,323004995290177;0,667583684981275;0,19195872000656;0,445511918392609
"Canthigaster axiologus";0,331642066163172;0;0,185885320148635;0,672070054693142;0;0,201674705120695
"Canthigaster bennetti";0,481597396744711;0,0929665563974237;0,306427112959885;0,681749868690781;0;0,471306732848871
"Canthigaster callisterna";0,427971503320208;0;0,186592985080442;0,64837725391798;0;0,487674426543828
"Canthigaster capistrata";0,507282074737347;0,0929665563974237;0;0,604774226476778;0;0,459071896446914
"Canthigaster coronata";0,493520052836957;0;0,345226220385671;0,683080940690709;0;0,485090674393911
"Canthigaster figueiredoi";0,142316634981654;0,185933112794847;0,351894042748375;0,647814080905986;0;0,137664402986521
"Canthigaster jactator";0,694402189492162;0,185933112794847;0,3270791938731;0,705865361911493;0;0,581977197015935
"Canthigaster janthinoptera";0,500859781500235;0;0,382878060588425;0,589040488489214;0,19195872000656;0,412993208959563
"Canthigaster papua";0,416887748692054;0;0,214528462265484;0,701186567953943;0;0,587861261038797
"Canthigaster punctatissima";0,538400617441394;0,185933112794847;0,429592444619542;0,599498703721601;0;0,392901065968302
"Canthigaster rostrata";0,817926733851587;0,333281618505943;0,361783543310601;0,739132498252447;0;0,71388876828329
"Canthigaster valentini";0,622691410547464;0,363210164895204;0,361972014434291;0,775724525388149;0;0,743022227040396
"Centropyge bicolor";0,580483062340199;0,333281618505943;0,413934085719947;0,736609561861423;0;0,595660691629978
"Centropyge bispinosa";0,658137326531871;0,185933112794847;0,38122707151154;0,726876726656697;0,30424737289683;0,434282839259237
"Centropyge eibli";0,364240073041596;0,185933112794847;0,392715449228208;0,730590775115255;0;0,398234106542063
"Centropyge ferrugata";0,319016012395898;0,185933112794847;0,241800688020317;0,68602124190273;0;0,243837213271914
