ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
619,Chromis agilis,Chromis agilis,species,Chromis agilis,Chromis agilis,Chromis,Pomacentridae,Actinopterygii,212808,1,
620,Chromis alpha,Chromis alpha,species,Chromis alpha,Chromis alpha,Chromis,Pomacentridae,Actinopterygii,273709,1,
621,Chromis alta,Chromis alta,species,Chromis alta,Chromis alta,Chromis,Pomacentridae,Actinopterygii,273710,1,
622,Chromis amboinensis,Chromis amboinensis,species,Chromis amboinensis,Chromis amboinensis,Chromis,Pomacentridae,Actinopterygii,273711,1,
623,Chromis analis,Chromis analis,species,Chromis analis,Chromis analis,Chromis,Pomacentridae,Actinopterygii,212814,1,
624,Chromis atrilobata,Chromis atrilobata,species,Chromis atrilobata,Chromis atrilobata,Chromis,Pomacentridae,Actinopterygii,273712,1,
625,Chromis atripectoralis,Chromis atripectoralis,species,Chromis atripectoralis,Chromis atripectoralis,Chromis,Pomacentridae,Actinopterygii,212812,1,
626,Chromis atripes,Chromis atripes,species,Chromis atripes,Chromis atripes,Chromis,Pomacentridae,Actinopterygii,273713,1,
627,Chromis bami,Chromis bami,species,Chromis bami,Chromis bami,Chromis,Pomacentridae,Actinopterygii,273714,1,
628,Chromis caudalis,Chromis caudalis,species,Chromis caudalis,Chromis caudalis,Chromis,Pomacentridae,Actinopterygii,273716,1,
629,Chromis chromis,Chromis chromis,species,Chromis chromis,Chromis chromis,Chromis,Pomacentridae,Actinopterygii,127000,1,
630,Chromis chrysura,Chromis chrysura,species,Chromis chrysura,Chromis chrysura,Chromis,Pomacentridae,Actinopterygii,212824,1,
631,Chromis cinerascens,Chromis cinerascens,species,Chromis cinerascens,Chromis cinerascens,Chromis,Pomacentridae,Actinopterygii,212815,1,
632,Chromis crusma,Chromis crusma,species,Chromis crusma,Chromis crusma,Chromis,Pomacentridae,Actinopterygii,273717,1,
633,Chromis cyanea,Chromis cyanea,species,Chromis cyanea,Chromis cyanea,Chromis,Pomacentridae,Actinopterygii,273718,1,
634,Chromis dimidiata,Chromis dimidiata,species,Chromis dimidiata,Chromis dimidiata,Chromis,Pomacentridae,Actinopterygii,212823,1,
635,Chromis dispilus,Chromis dispilus,species,Chromis dispilus,Chromis dispilus,Chromis,Pomacentridae,Actinopterygii,273720,1,
636,Chromis elerae,Chromis elerae,species,Chromis elerae,Chromis elerae,Chromis,Pomacentridae,Actinopterygii,273721,1,
637,Chromis flavaxilla,Chromis flavaxilla,species,Chromis flavaxilla,Chromis flavaxilla,Chromis,Pomacentridae,Actinopterygii,212816,1,
638,Chromis flavipectoralis,Chromis flavipectoralis,species,Chromis flavipectoralis,Chromis flavipectoralis,Chromis,Pomacentridae,Actinopterygii,273726,1,
639,Chromis flavomaculata,Chromis flavomaculata,species,Chromis flavomaculata,Chromis flavomaculata,Chromis,Pomacentridae,Actinopterygii,273727,1,
640,Chromis fumea,Chromis fumea,species,Chromis fumea,Chromis fumea,Chromis,Pomacentridae,Actinopterygii,273728,1,
641,Chromis hanui,Chromis hanui,species,Chromis hanui,Chromis hanui,Chromis,Pomacentridae,Actinopterygii,273729,1,
642,Chromis hypsilepis,Chromis hypsilepis,species,Chromis hypsilepis,Chromis hypsilepis,Chromis,Pomacentridae,Actinopterygii,273730,1,
643,Chromis insolata,Chromis insolata,species,Chromis insolata,Chromis insolata,Chromis,Pomacentridae,Actinopterygii,273731,1,
644,Chromis iomelas,Chromis iomelas,species,Chromis iomelas,Chromis iomelas,Chromis,Pomacentridae,Actinopterygii,273733,1,
645,Chromis klunzingeri,Chromis klunzingeri,species,Chromis klunzingeri,Chromis klunzingeri,Chromis,Pomacentridae,Actinopterygii,273735,1,
